fantasy_owner,ipl_team,nickname,full_name,role,is_overseas,official_name,official_player_id,official_player_url,official_stats_feed_url,mapping_source,mapping_notes,playing_xi_tier,availability_modifier,availability_note,overseas_competition_note,availability_source,confidence,career_batting_matches,career_batting_innings,career_batting_not_outs,career_batting_runs,career_batting_high_score,career_batting_average,career_batting_balls_faced,career_batting_strike_rate,career_batting_hundreds,career_batting_fifties,career_batting_fours,career_batting_sixes,career_batting_catches,career_batting_stumpings,career_bowling_matches,career_bowling_innings,career_bowling_balls,career_bowling_runs_conceded,career_bowling_wickets,career_bowling_best_bowling,career_bowling_average,career_bowling_economy,career_bowling_strike_rate,career_bowling_four_wkts,career_bowling_five_wkts,season_2025_batting_matches,season_2025_batting_innings,season_2025_batting_not_outs,season_2025_batting_runs,season_2025_batting_high_score,season_2025_batting_average,season_2025_batting_balls_faced,season_2025_batting_strike_rate,season_2025_batting_hundreds,season_2025_batting_fifties,season_2025_batting_fours,season_2025_batting_sixes,season_2025_batting_catches,season_2025_batting_stumpings,season_2025_bowling_matches,season_2025_bowling_innings,season_2025_bowling_balls,season_2025_bowling_runs_conceded,season_2025_bowling_wickets,season_2025_bowling_best_bowling,season_2025_bowling_average,season_2025_bowling_economy,season_2025_bowling_strike_rate,season_2025_bowling_four_wkts,season_2025_bowling_five_wkts,season_2024_batting_matches,season_2024_batting_innings,season_2024_batting_not_outs,season_2024_batting_runs,season_2024_batting_high_score,season_2024_batting_average,season_2024_batting_balls_faced,season_2024_batting_strike_rate,season_2024_batting_hundreds,season_2024_batting_fifties,season_2024_batting_fours,season_2024_batting_sixes,season_2024_batting_catches,season_2024_batting_stumpings,season_2024_bowling_matches,season_2024_bowling_innings,season_2024_bowling_balls,season_2024_bowling_runs_conceded,season_2024_bowling_wickets,season_2024_bowling_best_bowling,season_2024_bowling_average,season_2024_bowling_economy,season_2024_bowling_strike_rate,season_2024_bowling_four_wkts,season_2024_bowling_five_wkts,stats_source,stats_fetched_at,stats_status
Dharmik,RR,Jaiswal,Yashasvi Jaiswal,BAT,False,Yashasvi Jaiswal,13538,https://www.iplt20.com/players/yashasvi-jaiswal/13538,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/13538-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,67,66,3,2166,124,34.38,1417,152.86,2,15,258,92,28,0,67,1,1,6,0,0/6,,36.00,,0,0,14,14,1,559,75,43.00,350,159.71,0,6,60,28,10,,14,,,,,,,,,,,16,15,1,435,104*,31.07,279,155.91,1,1,54,16,4,,16,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/13538-playerstats.js,2026-03-23T10:51:05.341831+00:00,ok
Dharmil,RR,Hetmyr,Shimron Hetmyer,BAT,True,Shimron Hetmyer,1705,https://www.iplt20.com/players/shimron-hetmyer/1705,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1705-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,86,79,28,1482,75,29.06,976,151.84,0,5,93,93,45,0,86,0,0,0,0,,,,,0,0,14,13,2,239,52,21.73,164,145.73,0,1,17,11,13,,14,,,,,,,,,,,12,9,4,113,27*,22.60,69,163.77,0,0,9,7,4,,12,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1705-playerstats.js,2026-03-23T10:51:05.394446+00:00,ok
Akshit,RR,Donovan,Donovan Ferreira,AR,True,Donovan Ferreira,5652,https://www.iplt20.com/players/donovan-ferreira/5652,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5652-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,3,3,0,9,7,3.00,14,64.29,0,0,0,0,2,,3,,,,,,,,,,,1,1,0,1,1,1.00,3,33.33,0,0,0,0,,,1,,,,,,,,,,,2,2,0,8,7,4.00,11,72.73,0,0,0,0,2,,2,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5652-playerstats.js,2026-03-23T10:51:05.398914+00:00,ok
Saurabh,RR,Shubham,Shubham Dubey,BAT,False,Shubham Dubey,20688,https://www.iplt20.com/players/shubham-dubey/20688,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20688-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,13,11,5,139,34*,23.17,85,163.53,0,0,9,10,1,,13,,,,,,,,,,,9,8,4,106,34*,26.50,66,160.61,0,0,6,8,1,,9,,,,,,,,,,,4,3,1,33,25,16.50,19,173.68,0,0,3,2,,,4,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20688-playerstats.js,2026-03-23T10:51:05.399667+00:00,ok
Vyom,RR,bishnoi,Ravi Bishnoi,BOWL,False,Ravi Bishnoi,19351,https://www.iplt20.com/players/ravi-bishnoi/19351,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/19351-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,77,18,8,45,13,4.50,66,68.18,0,0,2,2,26,0,77,76,1627,2229,72,3/24,30.96,8.22,22.60,0,0,11,3,1,13,13,6.50,16,81.25,0,0,0,2,6,,11,11,222,401,9,2/18,44.56,10.84,24.67,0,0,14,3,0,4,2,1.33,6,66.67,0,0,0,0,4,,14,14,262,383,10,2/25,38.30,8.77,26.20,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/19351-playerstats.js,2026-03-23T10:51:05.400199+00:00,ok
Harsh,RR,Kuldeep Sen,Kuldeep Sen,BOWL,False,Kuldeep Sen,20616,https://www.iplt20.com/players/kuldeep-sen/20616,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20616-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,12,1,1,0,0*,,3,0.00,0,0,0,0,4,,12,12,241,387,14,4/20,27.64,9.63,17.21,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,0,0,,,1,,3,3,72,122,6,3/41,20.33,10.17,12.00,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20616-playerstats.js,2026-03-23T10:51:05.444499+00:00,ok
Dharmik,RR,Burger,Nandre Burger,BOWL,True,Nandre Burger,20716,https://www.iplt20.com/players/nandre-burger/20716,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20716-playerstats.js,team_nickname_override,Resolved via accepted team-scoped override to 'Nandre Burger'.,LIKELY,1.0,,,,High,6,0,0,,,,,,0,0,,,2,,6,5,102,145,7,2/29,20.71,8.53,14.57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,,,,,0,0,,,2,,6,5,102,145,7,2/29,20.71,8.53,14.57,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20716-playerstats.js,2026-03-23T10:51:05.484040+00:00,ok
Dharmil,RR,Jadeja,Ravindra Jadeja,AR,False,Ravindra Jadeja,9,https://www.iplt20.com/players/ravindra-jadeja/9,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/9-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,254,198,81,3260,77*,27.86,2503,130.24,0,5,240,117,109,0,254,225,4056,5188,170,5/16,30.52,7.67,23.86,3,1,14,14,5,301,77*,33.44,222,135.59,0,2,25,10,6,,14,14,227,324,10,2/17,32.40,8.56,22.70,0,0,14,11,5,267,57*,44.50,187,142.78,0,1,22,8,6,,14,14,282,369,8,3/18,46.13,7.85,35.25,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/9-playerstats.js,2026-03-23T10:51:05.530469+00:00,ok
Akshit,RR,Deshpande,Tushar Deshpande,BOWL,False,Tushar Deshpande,3257,https://www.iplt20.com/players/tushar-deshpande/3257,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3257-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,46,8,6,28,20*,14.00,22,127.27,0,0,2,1,8,0,46,46,965,1583,51,4/27,31.04,9.84,18.92,1,0,10,4,3,7,3,7.00,8,87.50,0,0,0,0,2,,10,10,192,340,9,3/44,37.78,10.63,21.33,0,0,13,1,1,0,0*,,1,0.00,0,0,0,0,2,,13,13,288,424,17,4/27,24.94,8.83,16.94,1,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3257-playerstats.js,2026-03-23T10:51:05.533344+00:00,ok
Saurabh,RR,Shanaka,Dasun Shanaka,AR,True,Dasun Shanaka,1095,https://www.iplt20.com/players/dasun-shanaka/1095,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1095-playerstats.js,direct_player_profile_override,Mapped directly to the accepted official IPL player profile.,LIKELY,1.0,,,,High,3,3,1,26,17,13.00,26,100.00,0,0,2,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1095-playerstats.js,2026-03-23T10:51:05.557807+00:00,ok
Vyom,RR,Sushant,Sushant Mishra,BOWL,False,Sushant Mishra,20695,https://www.iplt20.com/players/sushant-mishra/20695,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20695-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20695-playerstats.js,2026-03-23T10:51:05.589796+00:00,ok
Harsh,RR,Puthur,Vignesh Puthur,BOWL,False,Vignesh Puthur,22266,https://www.iplt20.com/players/vignesh-puthur/22266,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22266-playerstats.js,team_nickname_override,Resolved via accepted team-scoped override to 'Vignesh Puthur'.,LIKELY,1.0,,,,High,5,0,0,,,,,,0,0,,,2,,5,5,72,109,6,3/32,18.17,9.08,12.00,0,0,5,0,0,,,,,,0,0,,,2,,5,5,72,109,6,3/32,18.17,9.08,12.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22266-playerstats.js,2026-03-23T10:51:05.617205+00:00,ok
Dharmik,RR,Yudhvir,Yudhvir Singh Charak,AR,False,Yudhvir Singh Charak,10842,https://www.iplt20.com/players/yudhvir-singh-charak/10842,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/10842-playerstats.js,team_nickname_override,Resolved via accepted team-scoped override to 'Yudhvir Singh Charak'.,LIKELY,1.0,,,,High,9,4,0,22,14,5.50,16,137.50,0,0,1,2,,,9,9,138,253,8,3/47,31.63,11.00,17.25,0,0,4,0,0,,,,,,0,0,,,,,4,4,66,131,4,3/47,32.75,11.91,16.50,0,0,2,2,0,21,14,10.50,14,150.00,0,0,1,2,,,2,2,24,52,1,1/24,52.00,13.00,24.00,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/10842-playerstats.js,2026-03-23T10:51:05.675851+00:00,ok
Dharmil,RR,Sandeep,Sandeep Sharma,BOWL,False,Sandeep Sharma,1112,https://www.iplt20.com/players/sandeep-sharma/1112,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1112-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,137,28,22,60,9,10.00,74,81.08,0,0,4,0,22,0,137,136,3041,4070,146,5/18,27.88,8.03,20.83,2,1,10,1,1,6,6*,,5,120.00,0,0,0,0,1,,10,10,219,361,9,2/21,40.11,9.89,24.33,0,0,11,0,0,,,,,,0,0,,,3,,11,10,228,311,13,5/18,23.92,8.18,17.54,0,1,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1112-playerstats.js,2026-03-23T10:51:05.677133+00:00,ok
Manan,DC,Natarajan,T Natarajan,BOWL,False,T Natarajan,3831,https://www.iplt20.com/players/t-natarajan/3831,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3831-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,63,4,3,3,3*,3.00,5,60.00,0,0,0,0,9,0,63,62,1355,2018,67,4/19,30.12,8.94,20.22,1,0,2,0,0,,,,,,0,0,,,,,2,1,18,49,0,0/49,,16.33,,0,0,14,0,0,,,,,,0,0,,,2,,14,14,308,465,19,4/19,24.47,9.06,16.21,1,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3831-playerstats.js,2026-03-23T10:51:05.701915+00:00,ok
Akshit,DC,Mukesh,Mukesh Kumar,BOWL,False,Mukesh Kumar,5622,https://www.iplt20.com/players/mukesh-kumar/5622,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5622-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,32,5,4,10,6*,10.00,18,55.56,0,0,0,0,9,,32,32,636,1102,36,4/33,30.61,10.40,17.67,1,0,12,0,0,,,,,,0,0,,,3,,12,12,237,408,12,4/33,34.00,10.33,19.75,1,0,10,2,1,3,3,3.00,9,33.33,0,0,0,0,3,,10,10,213,368,17,3/14,21.65,10.37,12.53,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5622-playerstats.js,2026-03-23T10:51:05.713367+00:00,ok
Saurabh,DC,Ngidi,Lungisani Ngidi,BOWL,True,Lungisani Ngidi,3746,https://www.iplt20.com/players/lungisani-ngidi/3746,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3746-playerstats.js,team_nickname_override,Resolved via accepted team-scoped override to 'Lungisani Ngidi'.,LIKELY,1.0,,,,High,16,1,1,0,0,,2,0.00,0,0,0,0,2,0,16,16,372,529,29,4/10,18.24,8.53,12.83,1,0,2,1,1,0,0*,,2,0.00,0,0,0,0,,,2,2,48,81,4,3/30,20.25,10.13,12.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3746-playerstats.js,2026-03-23T10:51:05.768904+00:00,ok
Vyom,DC,KLR,Kl Rahul,WK,False,Kl Rahul,1125,https://www.iplt20.com/players/kl-rahul/1125,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1125-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,150,138,23,5242,132*,45.58,3855,135.98,5,40,456,208,84,7,148,0,0,0,0,,,,,0,0,13,13,3,539,112*,53.90,360,149.72,1,3,52,21,3,,13,,,,,,,,,,,14,14,0,520,82,37.14,382,136.13,0,4,45,19,15,2,14,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1125-playerstats.js,2026-03-23T10:51:05.815789+00:00,ok
Harsh,DC,Kuldeep,Kuldeep Yadav,BOWL,False,Kuldeep Yadav,261,https://www.iplt20.com/players/kuldeep-yadav/261,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/261-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,98,38,23,201,35*,13.40,232,86.64,0,0,18,3,20,0,98,95,2052,2751,102,4/14,26.97,8.04,20.12,4,0,14,5,2,18,7,6.00,16,112.50,0,0,2,0,,,14,13,306,361,15,3/22,24.07,7.08,20.40,0,0,11,5,2,47,35*,15.67,41,114.63,0,0,6,1,2,,11,11,258,374,16,4/55,23.38,8.70,16.13,1,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/261-playerstats.js,2026-03-23T10:51:05.826926+00:00,ok
Dharmik,DC,Axar,Axar Patel,AR,False,Axar Patel,1113,https://www.iplt20.com/players/axar-patel/1113,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1113-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,162,124,37,1916,66,22.02,1430,133.99,0,3,130,94,76,0,162,159,3303,4046,128,4/21,31.61,7.35,25.80,1,0,12,11,1,263,43,26.30,167,157.49,0,0,23,15,4,,12,11,204,288,5,2/19,57.60,8.47,40.80,0,0,14,12,4,235,66,29.38,179,131.28,0,2,19,10,13,,14,14,264,337,11,2/25,30.64,7.66,24.00,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1113-playerstats.js,2026-03-23T10:51:05.831458+00:00,ok
Dharmil,DC,Starc,Mitchell Starc,BOWL,True,Mitchell Starc,490,https://www.iplt20.com/players/mitchell-starc/490,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/490-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,52,23,12,111,29,10.09,119,93.28,0,0,11,0,29,0,52,49,1047,1503,65,5/35,23.12,8.61,16.11,2,1,11,6,4,6,2,3.00,10,60.00,0,0,0,0,7,,11,10,216,366,14,5/35,26.14,10.17,15.43,0,1,14,5,3,9,6*,4.50,11,81.82,0,0,1,0,6,,14,13,251,444,17,4/33,26.12,10.61,14.76,1,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/490-playerstats.js,2026-03-23T10:51:05.839005+00:00,ok
Manan,DC,Miller,David Miller,BAT,True,David Miller,187,https://www.iplt20.com/players/david-miller/187,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/187-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,141,135,49,3077,101*,35.78,2220,138.60,1,13,220,138,80,0,141,0,0,0,0,,,,,0,0,11,11,6,153,27*,30.60,120,127.50,0,0,13,4,5,,11,,,,,,,,,,,9,9,3,210,55,35.00,139,151.08,0,1,20,8,5,,9,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/187-playerstats.js,2026-03-23T10:51:05.898626+00:00,ok
Akshit,DC,Vipraj,Vipraj Nigam,AR,False,Vipraj Nigam,22053,https://www.iplt20.com/players/vipraj-nigam/22053,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22053-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,14,8,1,142,39,20.29,79,179.75,0,0,15,8,3,,14,13,234,356,11,2/18,32.36,9.13,21.27,0,0,14,8,1,142,39,20.29,79,179.75,0,0,15,8,3,,14,13,234,356,11,2/18,32.36,9.13,21.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22053-playerstats.js,2026-03-23T10:51:05.945626+00:00,ok
Saurabh,DC,Nitish Rana,Nitish Rana,BAT,False,Nitish Rana,2738,https://www.iplt20.com/players/nitish-rana/2738,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/2738-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,118,112,10,2853,87,27.97,2086,136.77,0,20,261,141,26,0,118,26,192,270,10,2/11,27.00,8.44,19.20,0,0,11,11,1,217,81,21.70,134,161.94,0,2,27,9,2,,11,2,12,18,0,0/9,,9.00,,0,0,2,2,0,42,33,21.00,34,123.53,0,0,5,1,,,2,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/2738-playerstats.js,2026-03-23T10:51:05.953042+00:00,ok
Vyom,DC,Aquib,Auqib Dar,BOWL,False,Auqib Dar,23005,https://www.iplt20.com/players/auqib-dar/23005,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/23005-playerstats.js,team_nickname_override,Resolved via accepted team-scoped override to 'Auqib Dar'. Official stats feed not available for this player ID.,LIKELY,1.0,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/23005-playerstats.js,2026-03-23T10:51:05.966749+00:00,feed_missing
Harsh,DC,Porel,Abishek Porel,WK,False,Abishek Porel,33333,https://www.iplt20.com/players/abishek-porel/33333,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/33333-playerstats.js,team_nickname_override,Resolved via accepted team-scoped override to 'Abishek Porel'.,LIKELY,1.0,,,,High,31,29,3,661,65,25.42,441,149.89,0,3,65,27,9,,31,,,,,,,,,,,13,13,1,301,51,25.08,205,146.83,0,1,28,12,3,,13,,,,,,,,,,,14,12,2,327,65,32.70,205,159.51,0,2,36,13,2,,14,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/33333-playerstats.js,2026-03-23T10:51:05.977858+00:00,ok
Dharmil,DC,Shaw,Prithvi Shaw,BAT,False,Prithvi Shaw,3764,https://www.iplt20.com/players/prithvi-shaw/3764,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3764-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,79,79,0,1892,99,23.95,1283,147.47,0,14,238,61,18,0,53,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,198,66,24.75,121,163.64,0,1,30,5,2,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3764-playerstats.js,2026-03-23T10:51:06.044631+00:00,ok
Manan,DC,Stubbs,Tristan Stubbs,WK,True,Tristan Stubbs,20631,https://www.iplt20.com/players/tristan-stubbs/20631,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20631-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,32,30,13,705,71*,41.47,432,163.19,0,3,51,37,17,1,32,5,36,69,4,2/11,17.25,11.50,9.00,0,0,14,13,7,300,41*,50.00,199,150.75,0,0,25,11,10,1,14,2,12,40,0,0/12,,20.00,,0,0,14,13,6,378,71*,54.00,198,190.91,0,3,24,26,7,,14,2,12,15,3,2/11,5.00,7.50,4.00,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20631-playerstats.js,2026-03-23T10:51:06.081913+00:00,ok
Akshit,DC,Karun,Karun Nair,BAT,False,Karun Nair,276,https://www.iplt20.com/players/karun-nair/276,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/276-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,84,76,5,1694,89,23.86,1286,131.73,0,11,185,49,25,0,84,0,0,0,0,,,,,0,0,8,8,0,198,89,24.75,115,172.17,0,1,24,10,2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/276-playerstats.js,2026-03-23T10:51:06.082614+00:00,ok
Saurabh,DC,Ashutosh,Ashutosh Sharma,BAT,False,Ashutosh Sharma,20703,https://www.iplt20.com/players/ashutosh-sharma/20703,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20703-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,24,18,4,393,66*,28.07,240,163.75,0,2,24,28,4,,24,,,,,,,,,,,13,9,2,204,66*,29.14,127,160.63,0,1,14,13,2,,13,,,,,,,,,,,11,9,2,189,61,27.00,113,167.26,0,1,10,15,2,,11,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20703-playerstats.js,2026-03-23T10:51:06.101356+00:00,ok
Vyom,DC,Duckett,Ben Duckett,BAT,True,Ben Duckett,23001,https://www.iplt20.com/players/ben-duckett/23001,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/23001-playerstats.js,registry_exact_team_match,Official stats feed not available for this player ID.,LIKELY,1.0,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/23001-playerstats.js,2026-03-23T10:51:06.127485+00:00,feed_missing
Harsh,DC,Chameera,Dushmantha Chameera,BOWL,True,Dushmantha Chameera,817,https://www.iplt20.com/players/dushmantha-chameera/817,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/817-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,19,11,7,53,17,13.25,42,126.19,0,0,3,3,3,,19,18,372,603,13,2/17,46.38,9.73,28.62,0,0,6,3,3,10,8*,,14,71.43,0,0,0,0,1,,6,5,90,171,4,1/24,42.75,11.40,22.50,0,0,1,0,0,,,,,,0,0,,,,,1,1,18,48,0,0/48,,16.00,,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/817-playerstats.js,2026-03-23T10:51:06.181709+00:00,ok
Dharmil,DC,Rizwi,Sameer Rizvi,BAT,False,Sameer Rizvi,20689,https://www.iplt20.com/players/sameer-rizvi/20689,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20689-playerstats.js,team_nickname_override,Resolved via accepted team-scoped override to 'Sameer Rizvi'.,LIKELY,1.0,,,,High,13,9,2,172,58*,24.57,122,140.98,0,1,15,9,6,,13,,,,,,,,,,,5,4,1,121,58*,40.33,79,153.16,0,1,11,7,2,,5,,,,,,,,,,,8,5,1,51,21,12.75,43,118.60,0,0,4,2,4,,8,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20689-playerstats.js,2026-03-23T10:51:06.206292+00:00,ok
Manan,KKR,Ramandeep,Ramandeep Singh,AR,False,Ramandeep Singh,20595,https://www.iplt20.com/players/ramandeep-singh/20595,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20595-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,31,20,9,217,35,19.73,137,158.39,0,0,9,17,14,,31,4,40,63,6,3/20,10.50,9.45,6.67,0,0,11,7,2,47,22,9.40,35,134.29,0,0,1,4,5,,11,,,,,,,,,,,15,9,5,125,35,31.25,62,201.61,0,0,5,12,8,,15,1,4,9,0,0/9,,13.50,,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20595-playerstats.js,2026-03-23T10:51:06.234673+00:00,ok
